product_id,order_count,reorder_count,product_name,aisle_id,department_id
24852,491291,415166,Banana,24,4
13176,394930,329275,Bag of Organic Bananas,24,4
21137,275577,214448,Organic Strawberries,24,4
21903,251705,194939,Organic Baby Spinach,123,4
47209,220877,176173,Organic Hass Avocado,24,4
47766,184224,140270,Organic Avocado,24,4
47626,160792,112178,Large Lemon,24,4
16797,149445,104588,Strawberries,24,4
26209,146660,100002,Limes,24,4
27845,142813,118684,Organic Whole Milk,84,16
27966,142603,109688,Organic Raspberries,123,4
22935,117716,82166,Organic Yellow Onion,83,4
24964,113936,77704,Organic Garlic,83,4
45007,109412,75431,Organic Zucchini,83,4
39275,105026,66306,Organic Blueberries,123,4
49683,99728,69022,Cucumber Kirby,83,4
28204,92889,66237,Organic Fuji Apple,24,4
5876,91251,63046,Organic Lemon,24,4
40706,88078,57957,Organic Grape Tomatoes,123,4
8277,87272,64134,Apple Honeycrisp Organic,24,4
4920,86748,58046,Seedless Red Grapes,123,4
30391,85005,59058,Organic Cucumber,83,4
45066,83320,60473,Honeycrisp Apple,24,4
42265,80493,52951,Organic Baby Carrots,123,4
44632,79245,61175,Sparkling Water Grapefruit,115,7
49235,79006,61801,Organic Half & Half,53,16
19057,78056,59489,Organic Large Extra Fancy Fuji Apple,24,4
4605,76929,45817,Yellow Onions,83,4
21616,75752,51869,Organic Baby Arugula,123,4
37646,75655,55506,Organic Gala Apples,24,4
17794,75233,48215,Carrots,83,4
27104,74235,47788,Fresh Cauliflower,83,4
30489,74172,53910,Original Hummus,67,20
31717,73050,45411,Organic Cilantro,16,4
27086,71641,54626,Half & Half,53,16
46979,71151,44042,Asparagus,83,4
8518,70804,43757,Organic Red Onion,83,4
44359,70714,44621,Organic Small Bunch Celery,83,4
28985,70076,48785,Michigan Organic Kale,83,4
41950,66827,43983,Organic Tomato Cluster,83,4
26604,64589,42138,Organic Blackberries,24,4
5077,63114,46586,100% Whole Wheat Bread,112,3
34126,63021,38644,Organic Italian Parsley Bunch,16,4
22035,61669,47204,Organic Whole String Cheese,21,16
39877,61116,43291,Organic Granny Smith Apple,24,4
43352,60919,41835,Raspberries,32,4
35951,60071,45558,Organic Unsweetened Almond Milk,91,16
10749,59878,39567,Organic Red Bell Pepper,83,4
19660,58312,47392,Spring Water,115,7
9076,58269,33999,Blueberries,116,1
24184,58185,36773,Red Peppers,83,4
21938,58005,35350,Green Bell Pepper,83,4
43961,57831,36582,Organic Peeled Whole Baby Carrots,123,4
34969,56643,36296,Red Vine Tomato,83,4
48679,54507,36087,Organic Garnet Sweet Potato (Yam),83,4
46667,54094,31089,Organic Ginger Root,83,4
12341,52497,39138,Hass Avocados,32,4
25890,52369,34796,Boneless Skinless Chicken Breasts,49,12
31506,52323,24984,Extra Virgin Olive Oil,19,13
5450,52124,35113,Small Hass Avocado,24,4
39928,52021,37156,Organic Kiwi,24,4
24838,51738,38958,Unsweetened Almondmilk,91,16
22825,50808,35088,Organic D'Anjou Pears,24,4
5785,49374,39820,Organic Reduced Fat 2% Milk,84,16
35221,48512,36014,Lime Sparkling Water,115,7
28842,47450,27019,Bunched Cilantro,16,4
33731,46932,28702,Grated Parmesan,21,16
8424,44976,29211,Broccoli Crown,83,4
27521,44828,31248,Organic Lacinato (Dinosaur) Kale,83,4
33198,44737,32848,Sparkling Natural Mineral Water,115,7
8174,44701,28620,Organic Navel Orange,24,4
44142,44477,24534,Red Onion,83,4
20114,44460,25922,Jalapeno Peppers,83,4
27344,43261,28551,Uncured Genoa Salami,96,20
11520,42274,32821,Large Alfresco Eggs,86,16
29487,42165,26965,Roma Tomato,83,4
18465,41812,30012,Organic Grade A Free Range Large Brown Eggs,86,16
28199,41303,24970,"Clementines, Bag",123,4
15290,41052,24781,Orange Bell Pepper,83,4
46906,40498,27037,Grape White/Green Seedless,24,4
9839,40373,28825,Organic Broccoli,83,4
27156,39577,23356,Organic Black Beans,59,15
3957,39271,30966,100% Raw Coconut Water,31,7
43122,38686,27378,Organic Bartlett Pear,24,4
23909,38631,30036,2% Reduced Fat Milk,84,16
34358,38537,22700,Garlic,83,4
4799,37689,24259,Shredded Parmesan,21,16
9387,37566,24478,Granny Smith Apples,24,4
16759,37562,21797,Organic Carrot Bunch,83,4
196,37298,29012,Soda,77,7
42736,37102,20678,Unsalted Butter,36,16
4210,36968,28837,Whole Milk,84,16
38689,36869,31394,Organic Reduced Fat Milk,84,16
41787,36620,23814,Bartlett Pears,24,4
47144,36048,25775,Unsweetened Original Almond Breeze Almond Milk,91,16
41220,36028,22298,Organic Romaine Lettuce,83,4
7781,35551,26020,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16
33000,35384,23300,Pure Irish Butter,36,16
20995,34248,22331,Organic Broccoli Florets,116,1
21709,34211,25479,Sparkling Lemon Water,115,7
